Stammesnr.;VCP-Land;Bezirk/Gau/Region;Stammesname;Stammesort;;;;;;;;;;;;;;
207001;Niedersachsen;Ostfalen;Wipshausen ;31234 Wipshausen (Edemissen);;;;;;;;;;;;;;
207002;Niedersachsen;Ostfalen;St. Andreas;31246 Lahstedt;;;;;;;;;;;;;;
207003;Niedersachsen;Ostfalen;VCP Hildesheim;31135 Hildesheim;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
208001;Niedersachsen;Wilhelm Busch;Diogenes;31582 Nienburg (Weser);;;;;;;;;;;;;;
208002;Niedersachsen;Wilhelm Busch;Akropolis;31637 Rodewald;;;;;;;;;;;;;;
208003;Niedersachsen;Wilhelm Busch;Janus Korczak;31535 Neustadt;;;;;;;;;;;;;;
208004;Niedersachsen;Wilhelm Busch;Dietrich Bonhoeffer;31535 Neustadt am Rübenberge;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
300101;Westfalen;ohne;Stamm Bega;32694 Dörentrup Bega;;;;;;;;;;;;;;
300102;Westfalen;ohne;Abraham Jacobi;32427 Minden;;;;;;;;;;;;;;
300103;Westfalen;ohne;VCP Löhne;32584 Löhne;;;;;;;;;;;;;;
300104;Westfalen;ohne;Zone Bethel;33611 Bielefeld Bethel;;;;;;;;;;;;;;
300105;Westfalen;ohne;Cherusker;48477 Hörstel;;;;;;;;;;;;;;
300106;Westfalen;ohne;Asgard;49509 Recke;;;;;;;;;;;;;;
300107;Westfalen;ohne;Stamm Johannes;49492 Westerkappeln Velpe;;;;;;;;;;;;;;
300108;Westfalen;ohne;Arbalo;49477 Ibbenbüren;;;;;;;;;;;;;;
300109;Westfalen;ohne;Bonhoeffer;49492 Westerkappeln;;;;;;;;;;;;;;
300110;Westfalen;ohne;Stamm Hucriti ;44369 Dortmund Huckarde;;;;;;;;;;;;;;
300111;Westfalen;ohne;VCP Rubin Löwe;58119 Hohenlimburg;;;;;;;;;;;;;;
300112;Westfalen;ohne;Paul Gerhardt;44139 Dortmund;;;;;;;;;;;;;;
300113;Westfalen;ohne;Pankratius;59071 Hamm;;;;;;;;;;;;;;
300114;Westfalen;ohne;Wildpferde;48249 Dülmen;;;;;;;;;;;;;;
300115;Westfalen;ohne;VCP Marl-Hamm;45768 Marl-Hamm;;;;;;;;;;;;;;
300116;Westfalen;ohne;Stamm David;48165 Münster-Hiltrup;;;;;;;;;;;;;;
300117;Westfalen;ohne;Albert Schweitzer;44787 Bochum Melanchthon ;;;;;;;;;;;;;;
300118;Westfalen;ohne;VCP Bochum;44892 Bochum;;;;;;;;;;;;;;
300119;Westfalen;ohne;VCP Bochum-Melanchthon;44789 Bochum;;;;;;;;;;;;;;
300120;Westfalen;ohne;Nodan;46397 Bocholt;;;;;;;;;;;;;;
300121;Westfalen;ohne;VCP Wattenscheid;44866 Bochum-Wattenscheid;;;;;;;;;;;;;;
300122;Westfalen;ohne;Ulrich von Hutten;58762 Altena (Westfalen) Evingsen;;;;;;;;;;;;;;
300123;Westfalen;ohne;Hagen-Emst;58135 Hagen;;;;;;;;;;;;;;
300124;Westfalen;ohne;Wittekind;58644 Iserlohn;;;;;;;;;;;;;;
300125;Westfalen;ohne;frei;;;;;;;;;;;;;;;
300126;Westfalen;ohne;Stamm Thingslinde;58566 Kierspe;;;;;;;;;;;;;;
300127;Westfalen;ohne;Schwelm;58332 Schwelm;;;;;;;;;;;;;;
300128;Westfalen;ohne;Junker Jörg;58285 Gevelsberg;;;;;;;;;;;;;;
300129;Westfalen;ohne;Stamm Humbold;44227 Dortmund Eichlinghofen;;;;;;;;;;;;;;
300130;Westfalen;ohne;Stamm Elijah;48301 Nottuln;;;;;;;;;;;;;;
300131;Westfalen;ohne;Stamm Schmallenberg;57392 Schmallenberg;;;;;;;;;;;;;;
300132;Westfalen;ohne;frei;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
401001;Nordrhein;Düsseldorf-West;Stamm Dormagen;41539 Dormagen;;;;;;;;;;;;;;
401002;Nordrhein;Düsseldorf-West;Stamm de Arfa;41515 Grevenbroich;;;;;;;;;;;;;;
401003;Nordrhein;Düsseldorf-West;Stamm Meister Ponzelar;47820 Krefeld;;;;;;;;;;;;;;
401004;Nordrhein;Düsseldorf-West;Stamm Mönchengladbach;41061 Mönchengladbach;;;;;;;;;;;;;;
401005;Nordrhein;Düsseldorf-West;Stamm Langenfeld;40764 Langenfeld (Rheinland);;;;;;;;;;;;;;
401006;Nordrhein;Düsseldorf-West;Dietrich Bonhoeffer;41515 Grevenbroich Nord;;;;;;;;;;;;;;
401007;Nordrhein;Düsseldorf-West;Schwalmtal;41316 Schwalmtal Niederrhein;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
402001;Nordrhein;Aachen;Stamm Minas Anor;52072 Aachen;;;;;;;;;;;;;;
402002;Nordrhein;Aachen;VCP Hückelhoven Die Tauben;41836 Hückelhoven;;;;;;;;;;;;;;
402003;Nordrhein;Aachen;VCP Merode Chico Mendes;52379 Langerwehe Merode;;;;;;;;;;;;;;
402004;Nordrhein;Aachen;VCP Roetgen Stamm Rott;52159 Roetgen (Eifel) Rott;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
403001;Nordrhein;Ruhr-Wupper;Stamm Eberhard Wittgen;45277 Essen (Ruhr);;;;;;;;;;;;;;
403002;Nordrhein;Ruhr-Wupper;Stamm Essen-Holsterhausen ;45147 Essen (Ruhr) Holsterhausen;;;;;;;;;;;;;;
403003;Nordrhein;Ruhr-Wupper;Stamm Legolas;45357 Essen (Ruhr) Dellwig;;;;;;;;;;;;;;
403004;Nordrhein;Ruhr-Wupper;Weiße Rose;40699 Erkrath-Hochdahl;;;;;;;;;;;;;;
403005;Nordrhein;Ruhr-Wupper;Dag Hammarskjöld;40822 Mettmann;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
404001;Nordrhein;Köln-Bonn;frei;;;;;;;;;;;;;;;
404002;Nordrhein;Köln-Bonn;Thor Heyerdahl;53842 Troisdorf-Spich;;;;;;;;;;;;;;
404003;Nordrhein;Köln-Bonn;frei;;;;;;;;;;;;;;;
404004;Nordrhein;Köln-Bonn;Hermann von Wied;50259 Pulheim;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
404101;Nordrhein;Wesel;Dompfadfinder Wesel;46483 Wesel;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
404201;Nordrhein;Kaarst;VCP Kaarst;41564 Kaarst;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
404301;Nordrhein;Monheim;Janusz Korczak Monheim ;40789 Monheim am Rhein;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
404401;Nordrhein;Wuppertal;VCP Wuppertal Eiserner Drachen;42109 Wuppertal  Elberfeld;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
404501;Nordrhein;Remscheid;Stamm Remscheid;42853 Remscheid Lennep;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
501001;Hessen;Kurhessen;Goten;34128 Kassel Harleshausen;;;;;;;;;;;;;;
501002;Hessen;Kurhessen;VCP Wohratal;35288 Wohratal;;;;;;;;;;;;;;
501003;Hessen;Kurhessen;Marco Polo ;34128 Kassel-Harleshausen;;;;;;;;;;;;;;
501004;Hessen;Kurhessen;Weiße Taube;34497 Korbach;;;;;;;;;;;;;;
501005;Hessen;Kurhessen;Mückenstürmer;36251 Bad Hersfeld;;;;;;;;;;;;;;
501006;Hessen;Kurhessen;Martin Luther Lumdatal;35466 Rabenau Londorf (Hess);;;;;;;;;;;;;;
501007;Hessen;Kurhessen;Elisabeth v. Thüringen;35039 Marburg (Lahn);;;;;;;;;;;;;;
501008;Hessen;Kurhessen;St. Georg;34346 Hann. Münden;;;;;;;;;;;;;;
501009;Hessen;Kurhessen;Graf Folke Bernadotte;36037 Fulda;;;;;;;;;;;;;;
501010;Hessen;Kurhessen;Gottfried v. Ebersberg;36129 Hettenhausen (Rhön);;;;;;;;;;;;;;
501011;Hessen;Kurhessen;Diemelfüchse;34388 Trendelburg;;;;;;;;;;;;;;
501012;Hessen;Kurhessen;Martin von Tours;36137 Großenlüder;;;;;;;;;;;;;;
501013;Hessen;Kurhessen;VCP Niestetal;34266 Niestetal;;;;;;;;;;;;;;
501014;Hessen;Kurhessen;VCP Kirchhain;35274 Kirchhain;;;;;;;;;;;;;;
501015;Hessen;Kurhessen;VCP Schrecksbach;34637 Schrecksbach;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
502001;Hessen;Wetterau;VCP Bad Nauheim;61231 Bad Nauheim;;;;;;;;;;;;;;
502002;Hessen;Wetterau;VCP Friedberg;61169 Friedberg;;;;;;;;;;;;;;
502003;Hessen;Wetterau;Zecke;61279 Grävenwiesbach;;;;;;;;;;;;;;
502004;Hessen;Wetterau;Dietrich Bonhoeffer;35510 Butzbach;;;;;;;;;;;;;;
502005;Hessen;Wetterau;Krähenhorst;61273 Wehrheim;;;;;;;;;;;;;;
502006;Hessen;Wetterau;Kojoten;61231 Bad Nauheim Nieder-Mörlen;;;;;;;;;;;;;;
502007;Hessen;Wetterau;Johann Textor;35708 Haiger;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
503001;Hessen;Starkenburg;von Falkenstein;63225 Langen;;;;;;;;;;;;;;
503002;Hessen;Starkenburg;Staufen;65474 Bischofsheim (b. Rüsselsheim);;;;;;;;;;;;;;
503003;Hessen;Starkenburg;Wikinger;64372 Ober-Ramstadt;;;;;;;;;;;;;;
503004;Hessen;Starkenburg;Weiße Rose;63329 Egelsbach;;;;;;;;;;;;;;
503005;Hessen;Starkenburg;Zugvögel;65451 Kelsterbach;;;;;;;;;;;;;;
503006;Hessen;Starkenburg;Masilla Messel;64409 Messel;;;;;;;;;;;;;;
503007;Hessen;Starkenburg;Duborn;64739 Höchst;;;;;;;;;;;;;;
503008;Hessen;Starkenburg;Martin Luther King;;;;;;;;;;;;;;;
503009;Hessen;Starkenburg;Eldar;64319 Pfungstadt;;;;;;;;;;;;;;
503010;Hessen;Starkenburg;Densiwiniwasitu;64354 Reinheim (Odenwald);;;;;;;;;;;;;;
503011;Hessen;Starkenburg;Hermann von Salza;64569 Nauheim (Kreis Groß Gerau);;;;;;;;;;;;;;
503012;Hessen;Starkenburg;VCP Ginsheim;65462 Ginsheim-Gustavsburg;;;;;;;;;;;;;;
503013;Hessen;Starkenburg;Christopherus;64380 Roßdorf;;;;;;;;;;;;;;
503014;Hessen;Starkenburg;Neugründung;64846 Groß-Zimmern - Dieburg;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
504001;Hessen;Rhein-Main;Ottheinrich von der Pfalz;55218 Ingelheim (am Rhein);;;;;;;;;;;;;;
504002;Hessen;Rhein-Main;Schinderhannes;65232 Taunusstein;;;;;;;;;;;;;;
504003;Hessen;Rhein-Main;Dietrich von Bern;65719 Hofheim (Taunus);;;;;;;;;;;;;;
504004;Hessen;Rhein-Main;Totila;65779 Kelkheim (Taunus) Fischbach;;;;;;;;;;;;;;
504005;Hessen;Rhein-Main;Johannes Opilio de Elss;65604 Elz;;;;;;;;;;;;;;
504006;Hessen;Rhein-Main;Parzival;65527 Niedernhausen;;;;;;;;;;;;;;
504007;Hessen;Rhein-Main;Franken;65205 Wiesbaden-Erbenheim;;;;;;;;;;;;;;
504008;Hessen;Rhein-Main;Robin Hood;65307 Bad Schwalbach;;;;;;;;;;;;;;
504009;Hessen;Rhein-Main;Ansgar;65597 Hünfelden-Dauborn;;;;;;;;;;;;;;
504010;Hessen;Rhein-Main;Johann Friedrich Oberlin;35789 Weilmünster;;;;;;;;;;;;;;
504011;Hessen;Rhein-Main;Sophie Scholl;65812 Bad Soden am Taunus Neuenhain;;;;;;;;;;;;;;
504012;Hessen;Rhein-Main;Ulrich von Hutten;65439 Flörsheim (am Main) Weilbach;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
505001;Hessen;Main-Kinzig;Hohenburg;61350 Bad Homburg;;;;;;;;;;;;;;
505002;Hessen;Main-Kinzig;Schwarzer Panther;63477 Maintal;;;;;;;;;;;;;;
505003;Hessen;Main-Kinzig;Barbarossa;63571 Gelnhausen Hailer;;;;;;;;;;;;;;
505004;Hessen;Main-Kinzig;Ulrich von Hutten;63607 Wächtersbach;;;;;;;;;;;;;;
505005;Hessen;Main-Kinzig;VCP Eschersheim;60439 Frankfurt am Main Eschersheim;;;;;;;;;;;;;;
505006;Hessen;Main-Kinzig;Adlerauge  ;65931 Frankfurt am Main Zeilsheim;;;;;;;;;;;;;;
505007;Hessen;Main-Kinzig;Abe Lincoln;60431 Frankfurt am Main Ginnheim;;;;;;;;;;;;;;
505008;Hessen;Main-Kinzig;Die Sterne;67278 Bockenheim;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
601001;Bayern;Allgäu;VCP Sonthofen/Stamm Alemannen;87527 Sonthofen;;;;;;;;;;;;;;
601002;Bayern;Allgäu;VCP Füssen/Stamm Waldläufer;87629 Füssen;;;;;;;;;;;;;;
601003;Bayern;Allgäu;VCP Rettenbach;87733 Rettenbach;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
602001;Bayern;Donau;frei;;;;;;;;;;;;;;;
602002;Bayern;Donau;VCP Hemau/Stamm Falken;93155 Hemau;;;;;;;;;;;;;;
602003;Bayern;Donau;VCP Neutraubling/Stamm Fridtjof Nansen;93073 Neutraubling;;;;;;;;;;;;;;
602004;Bayern;Donau;frei;;;;;;;;;;;;;;;
602005;Bayern;Donau;VCP Passau/Stamm Kelten;94036 Passau;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
603001;Bayern;Fichtelgebirge;VCP Bayreuth/Stamm Dietrich Bonhoeffer;95444 Bayreuth;;;;;;;;;;;;;;
603002;Bayern;Fichtelgebirge;VCP Coburg/Stamm Albatros;96450 Coburg;;;;;;;;;;;;;;
603003;Bayern;Fichtelgebirge;VCP Kulmbach/Stamm Johann Eck;95326 Kulmbach;;;;;;;;;;;;;;
603004;Bayern;Fichtelgebirge;VCP Rehau/Siedlung Zugvögel;95111 Rehau;;;;;;;;;;;;;;
603005;Bayern;Fichtelgebirge;VCP Weiden/Stamm Markomannen;92637 Weiden i. d. Opf.;;;;;;;;;;;;;;
603006;Bayern;Fichtelgebirge;VCP Himmelkron/Stamm Graf Otto von Orlamünde;95502 Himmelkron;;;;;;;;;;;;;;
603007;Bayern;Fichtelgebirge;VCP Wüstenselbitz/Stamm Markgraf Georg ;95233 Wüstenselbitz;;;;;;;;;;;;;;
603008;Bayern;Fichtelgebirge;VCP Hof/Stamm Heinrich von Plauen;95028 Hof (Saale);;;;;;;;;;;;;;
603009;Bayern;Fichtelgebirge;frei;;;;;;;;;;;;;;;
603010;Bayern;Fichtelgebirge;VCP Trebgast;95367 Trebgast;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
604001;Bayern;Frankenjura;VCP Hallstadt/Stamm Nordstamm;96047 Bamberg;;;;;;;;;;;;;;
604002;Bayern;Frankenjura;VCP Erlangen/Stamm Florian Geyer;91054 Erlangen-Sieglitzhof;;;;;;;;;;;;;;
604003;Bayern;Frankenjura;VCP Gräfenberg/Wirnth von Grafenberg;91322 Gräfenberg;;;;;;;;;;;;;;
604004;Bayern;Frankenjura;VCP Hemhofen;91334 Hemhofen;;;;;;;;;;;;;;
604005;Bayern;Frankenjura;VCP Kalchreuth/Stamm Jakob von Haller;90562 Kalchreuth;;;;;;;;;;;;;;
604006;Bayern;Frankenjura;VCP Pegnitz;91257 Pegnitz;;;;;;;;;;;;;;
604007;Bayern;Frankenjura;VCP Höchstadt/Stamm Ritter von Spix;91315 Höchstadt a. d. Aisch;;;;;;;;;;;;;;
604008;Bayern;Frankenjura;VCP Bamberg;96050 Bamberg;;;;;;;;;;;;;;
604009;Bayern;Frankenjura;VCP Eckental/Stamm Taliesin;90542 Eckental;;;;;;;;;;;;;;
604010;Bayern;Frankenjura;VCP Nürnberg-Ziegelstein/Stamm Philipp Schwarzert;90411 Nürnberg Ziegelstein;;;;;;;;;;;;;;
604011;Bayern;Frankenjura;VCP Forchheim/Stamm Weiße Rose;91301 Forchheim;;;;;;;;;;;;;;
604012;Bayern;Frankenjura;VCP Vestenbergsgreuth;91487 Vestenbergsreuth;;;;;;;;;;;;;;
604013;Bayern;Frankenjura;frei;;;;;;;;;;;;;;;
604014;Bayern;Frankenjura;VCP Streitberg;91346 Wiesenttal (Fränk. Schweiz);;;;;;;;;;;;;;
604015;Bayern;Frankenjura;VCP Erlangen/Stamm Johann Hinrich Wichern;91056 Erlangen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
605001;Bayern;Isar;VCP München-Moosach/Stamm Monseñor Óscar Arnulfo Romero;80993 München-Moosach;;;;;;;;;;;;;;
605002;Bayern;Isar;VCP Fürstenfeldbruck/Stamm Claus Graf Schenk von Stauffenberg;82256 Fürstenfeldbruck;;;;;;;;;;;;;;
605003;Bayern;Isar;VCP München-Harlaching/Stamm Heinrich der Löwe;81547 München-Harlaching;;;;;;;;;;;;;;
605004;Bayern;Isar;VCP Lechrain;86925 Fuchstal (b. Landsberg a. Lech)-Asch;;;;;;;;;;;;;;
605005;Bayern;Isar;VCP Landshut/Stamm Wilhelm Löhe;84034 Landshut;;;;;;;;;;;;;;
605006;Bayern;Isar;VCP Söcking;82319 Starnberg Söcking;;;;;;;;;;;;;;
605007;Bayern;Isar;VCP Berg/Stamm Franz Kreis;82335 Berg (Starnberger See);;;;;;;;;;;;;;
605008;Bayern;Isar;VCP Ingolstadt/Stamm Martin von Tours - Spitalhof;86706 Ingolstadt (Donau) Spitalhof;;;;;;;;;;;;;;
605009;Bayern;Isar;VCP Dießen;86911 Dießen am Ammersee ;;;;;;;;;;;;;;
605010;Bayern;Isar;VCP Karlshuld/Stamm Totila;86668 Karlshuld;;;;;;;;;;;;;;
605011;Bayern;Isar;VCP Tutzing/Stamm Druiden;82327 Tutzing;;;;;;;;;;;;;;
605012;Bayern;Isar;VCP Hörlkofen/Stamm Nemeta;85457 Wörth Hörlkofen;;;;;;;;;;;;;;
605013;Bayern;Isar;VCP Grafing;;;;;;;;;;;;;;;
605014;Bayern;Isar;VCP Allershausen/Stamm Graf v. Moltke ;85391 Allershausen;;;;;;;;;;;;;;
605015;Bayern;Isar;VCP Ehekirchen;86676 Ehekirchen;;;;;;;;;;;;;;
605016;Bayern;Isar;Thor Heyerdahl Erding;85435 Erding;;;;;;;;;;;;;;
605017;Bayern;Isar;VCP Sendling;81243 München;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
606001;Bayern;Mainfranken;VCP Königsberg/Stamm Regiomontanus;97486 Königsberg (Bayern);;;;;;;;;;;;;;
606002;Bayern;Mainfranken;VCP Würzburg/Stamm Walther von der Vogelweide;97080 Würzburg Oberdürrbach;;;;;;;;;;;;;;
606003;Bayern;Mainfranken;Stamm Johann Schöner  ;97753 Karlstadt;;;;;;;;;;;;;;
606004;Bayern;Mainfranken;VCP Zell/Stamm Friedrich Emmert;97532 Zell;;;;;;;;;;;;;;
606005;Bayern;Mainfranken;VCP Haibach;63808 Haibach;;;;;;;;;;;;;;
606006;Bayern;Mainfranken;VCP Zeitlofs;97799 Zeitlofs;;;;;;;;;;;;;;
606007;Bayern;Mainfranken;VCP Mainstockheim;97320 Mainstockheim;;;;;;;;;;;;;;
606008;Bayern;Mainfranken;VCP Rieneck;97737 Rieneck;;;;;;;;;;;;;;
606009;Bayern;Mainfranken;VCP Niederwerrn;97464 Niederwerrn;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
607001;Bayern;Mitte;VCP Roth-Eckersmühlen;91154 Roth (Mittelfranken) Eckersmühlen;;;;;;;;;;;;;;
607002;Bayern;Mitte;VCP Fürth/Stamm Franken;90763 Fürth (Bayern);;;;;;;;;;;;;;
607003;Bayern;Mitte;VCP Lichtenau/Siedlung Impessa;91586 Lichtenau (Mittelfranken);;;;;;;;;;;;;;
607004;Bayern;Mitte;VCP Nürnberg-Katzwang/Stamm Geusen;90455 Nürnberg Katzwang;;;;;;;;;;;;;;
607005;Bayern;Mitte;VCP Diespeck/Stamm Veit vom Berg;91456 Diespeck bei Neustadt;;;;;;;;;;;;;;
607006;Bayern;Mitte;VCP Fürth/Stamm Emmy Noether;90762 Fürth;;;;;;;;;;;;;;
607007;Bayern;Mitte;VCP Schwaig/Stamm St. Lorenz;90571 Schwaig (b. Nürnberg);;;;;;;;;;;;;;
607008;Bayern;Mitte;VCP Schwabach/Stamm Astrid Lindgren;91126 Schwabach;;;;;;;;;;;;;;
607009;Bayern;Mitte;VCP Gunzenhausen/Stamm Altmühl;91735 Gunzenhausen;;;;;;;;;;;;;;
607010;Bayern;Mitte;VCP MTA62/Pfadfinderchor MTA;90763 Fürth (Bayern);;;;;;;;;;;;;;
607011;Bayern;Mitte;VCP Bruckberg/Stamm Bruckberger Heime;91590 Bruckberg;;;;;;;;;;;;;;
607012;Bayern;Mitte;frei;;;;;;;;;;;;;;;
607013;Bayern;Mitte;VCP Röthenbach bei St. Wolfgang;90530 Wendelstein Röthenbach b. St. Wolfgang;;;;;;;;;;;;;;
607014;Bayern;Mitte;VCP Marktbergel/Stamm St. KIlian;91613 Marktbergel;;;;;;;;;;;;;;
607015;Bayern;Mitte;VCP Oberferrieden/Stamm Martin Luther King;90559 Burgthann Oberferrieden;;;;;;;;;;;;;;
607016;Bayern;Mitte;VCP Neumarkt/Siedlung Taizé;92318 Neumarkt i. d. Opf. Woffenbach;;;;;;;;;;;;;;
607017;Bayern;Mitte;VCP Heideck/Stamm Ritter Hadebrand  ;91180 Heideck;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
608001;Bayern;Schwaben;VCP Augsburg/Stamm Augusta Vindelicum;86179 Augsburg;;;;;;;;;;;;;;
608002;Bayern;Schwaben;VCP Nördlingen/Stamm Dietrich Bonhoeffer;86720 Nördlingen;;;;;;;;;;;;;;
608003;Bayern;Schwaben;VCP Senden/Stamm Hägar der Schreckliche;89250 Senden (Iller);;;;;;;;;;;;;;
608004;Bayern;Schwaben;VCP Biberach;88400 Biberach;;;;;;;;;;;;;;
608005;Bayern;Schwaben;Stamm Mering;86415 Mering;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
700801;Württemberg;Gau Mittlerer Neckar;Frei;;;;;;;;;;;;;;;
700802;Württemberg;Gau Mittlerer Neckar;VCP Esslingen Stamm Postmichel;73728 Esslingen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
700901;Württemberg;Schönbuch-Würm;Christoph Kolumbus;75391 Gechingen;;;;;;;;;;;;;;
700902;Württemberg;Schönbuch-Würm;Schönbuchtrapper;71034 Böblingen;;;;;;;;;;;;;;
700903;Württemberg;Schönbuch-Würm;Abt Johann;75392 Deckenpfronn;;;;;;;;;;;;;;
700904;Württemberg;Schönbuch-Würm;Seattle;71139 Ehningen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
701001;Württemberg;Gau Hohenlohe;Siedlung Lichteneck;74653 Ingelfingen;;;;;;;;;;;;;;
701002;Württemberg;Gau Hohenlohe;Die beinharten Gallier ;97990 Weikersheim-Elpersheim;;;;;;;;;;;;;;
701003;Württemberg;Gau Hohenlohe;Israel Landauer ;74582 Gerabronn;;;;;;;;;;;;;;
701004;Württemberg;Gau Hohenlohe;Limestor ;74670 Sindringen-Ernsbach;;;;;;;;;;;;;;
701005;Württemberg;Gau Hohenlohe;Ritter des schwarzen Kreuzes ;74523 Schwäbisch Hall Bibersfeld;;;;;;;;;;;;;;
701006;Württemberg;Gau Hohenlohe;Stamm Rosenberger Pfadfinder ;74613 Öhringen;;;;;;;;;;;;;;
701007;Württemberg;Gau Hohenlohe;Jona ;74523 Schwäbisch Hall;;;;;;;;;;;;;;
701008;Württemberg;Gau Hohenlohe;Stamm Buchenbach;74673 Mulfingen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
702001;Württemberg;Gau Unterland;Vulkan;74080 Heilbronn (Neckar)-Böckingen;;;;;;;;;;;;;;
702002;Württemberg;Gau Unterland;Martin Luther;74076 Heilbronn;;;;;;;;;;;;;;
702003;Württemberg;Gau Unterland;Römer;74080 Heilbronn Böckingen;;;;;;;;;;;;;;
702004;Württemberg;Gau Unterland;Gustav Adolf ;74081 Heilbronn Sontheim;;;;;;;;;;;;;;
702005;Württemberg;Gau Unterland;Hans Riesser;74076 Heilbronn (Neckar);;;;;;;;;;;;;;
702006;Württemberg;Gau Unterland;Blauer Turm;74206 Bad Wimpfen;;;;;;;;;;;;;;
702007;Württemberg;Gau Unterland;Geronimo;74360 Ilsfeld;;;;;;;;;;;;;;
702008;Württemberg;Gau Unterland;Weiße Rose ;74376 Gemmrigheim;;;;;;;;;;;;;;
702009;Württemberg;Gau Unterland;Stamm Passat;74354 Ottmarsheim;;;;;;;;;;;;;;
702010;Württemberg;Gau Unterland;Wolf;74821 Mosbach (Baden) Neckarelz;;;;;;;;;;;;;;
702011;Württemberg;Gau Unterland;Albert Schweitzer;74821 Mosbach (Baden) Neckarelz;;;;;;;;;;;;;;
702012;Württemberg;Gau Unterland;Albrecht von Lichtenberg;71720 Oberstenfeld;;;;;;;;;;;;;;
702013;Württemberg;Gau Unterland;Avalon;71720 Oberstenfeld-Gronau;;;;;;;;;;;;;;
702014;Württemberg;Gau Unterland;Paul Schneider;71543 Wüstenrot-Neuhütten;;;;;;;;;;;;;;
702015;Württemberg;Gau Unterland;Älterenschaft;74072 Heilbronn (Neckar);;;;;;;;;;;;;;
702016;Württemberg;Gau Unterland;Götz von Berlichingen;74219 Möckmühl;;;;;;;;;;;;;;
702017;Württemberg;Gau Unterland;Stamm Wildeck;74232 Abstatt;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
703001;Württemberg;Gau Rems-Murr;St. Georg;71522 Backnang;;;;;;;;;;;;;;
703002;Württemberg;Gau Rems-Murr;Heinrich von Waldau;73527 Schwäb. Gmünd-Großdeinbach;;;;;;;;;;;;;;
703003;Württemberg;Gau Rems-Murr;Rudgerus de Herlekoven;73527 Schwäb. Gmünd Herlikofen;;;;;;;;;;;;;;
703004;Württemberg;Gau Rems-Murr;Hiltisnot von Roth;74420 Oberrot (b. Gaildorf);;;;;;;;;;;;;;
703005;Württemberg;Gau Rems-Murr;Albrecht von Limpurg;74405 Gaildorf-Unterrot;;;;;;;;;;;;;;
703006;Württemberg;Gau Rems-Murr;Stamm Spraitbach;73565 Spraitbach;;;;;;;;;;;;;;
703007;Württemberg;Gau Rems-Murr;VCP Hohnweiler;71549 Auenwald;;;;;;;;;;;;;;
703008;Württemberg;Gau Rems-Murr;Stamm Steinbach;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
704001;Württemberg;Gau Teck;Friedrich v. Bodelschwingh;72622 Nürtingen;;;;;;;;;;;;;;
704002;Württemberg;Gau Teck;Ritter vom Ordenskreuz ;73265 Dettingen unter Teck;;;;;;;;;;;;;;
704003;Württemberg;Gau Teck;Stamm Geislingen;73312 Geislingen an der Steige;;;;;;;;;;;;;;
704004;Württemberg;Gau Teck;Alemannen ;73033 Göppingen;;;;;;;;;;;;;;
704005;Württemberg;Gau Teck;Ritter von Lichteneck ;73235 Weilheim (a. d. Teck) Hepsisau;;;;;;;;;;;;;;
704006;Württemberg;Gau Teck;Kreuzfahrer;73770 Denkendorf;;;;;;;;;;;;;;
704007;Württemberg;Gau Teck;St. Michael ;72669 Unterensingen;;;;;;;;;;;;;;
704008;Württemberg;Gau Teck;Martin Luther King;72649 Wolfschlugen;;;;;;;;;;;;;;
