Stammesnr.;VCP-Land;Bezirk/Gau/Region;Stammesname;Stammesort;;;;;;;;;;;;;;
140110;Sachsen;ohne;Einsiedel;09322 Penig;;;;;;;;;;;;;;
140111;Sachsen;ohne;Salomo;09232 Hartmannsdorf;;;;;;;;;;;;;;
140112;Sachsen;ohne;Rotfuchs;01445 Radebeul;;;;;;;;;;;;;;
140113;Sachsen;ohne;St. Wenceslai;04808 Wurzen;;;;;;;;;;;;;;
140114;Sachsen;ohne;Johannes der Täufer;09322 Penig Niedersteinbach;;;;;;;;;;;;;;
140115;Sachsen;ohne;Schleiereulen Radeberg;01454 Radeberg;;;;;;;;;;;;;;
140116;Sachsen;ohne;St. Jakobus    ;04827 Machern;;;;;;;;;;;;;;
140117;Sachsen;ohne;frei;;;;;;;;;;;;;;;
140118;Sachsen;ohne;frei;;;;;;;;;;;;;;;
140119;Sachsen;ohne;St. Kilian;04651 Bad Lausick;;;;;;;;;;;;;;
140120;Sachsen;ohne;Heiliger Born;01219 Dresden Leubnitz-Neuostra;;;;;;;;;;;;;;
140121;Sachsen;ohne;Steinadler;01099 Dresden Neustadt;;;;;;;;;;;;;;
140122;Sachsen;ohne;Turmfalken ;04683 Naunhof;;;;;;;;;;;;;;
140123;Sachsen;ohne;VCP Waldohreulen Oberlungwitz;09353 Oberlungwitz;;;;;;;;;;;;;;
140124;Sachsen;ohne;Andreas Schubert;08491 Limbach;;;;;;;;;;;;;;
140125;Sachsen;ohne;Pilgrim;01187 Dresden;;;;;;;;;;;;;;
140126;Sachsen;ohne;Stamm Eisvogel;04107 Leipzig;;;;;;;;;;;;;;
140127;Sachsen;ohne;Trachenschlucht;01097 Dresden;;;;;;;;;;;;;;
140128;Sachsen;ohne;frei;02797 Lückendorf;;;;;;;;;;;;;;
140129;Sachsen;ohne;frei;02779 Großschönau-Hainewalde;;;;;;;;;;;;;;
140130;Sachsen;ohne;Stamm de Auenwaldräuber;04277 Leipzig;;;;;;;;;;;;;;
140131;Sachsen;ohne;frei;;;;;;;;;;;;;;;
140132;Sachsen;ohne;Katharina von Bora;04575 Neukieritzsch;;;;;;;;;;;;;;
140133;Sachsen;ohne;VCP Stamm MOBU;01468 Reichenberg;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
140201;Sachsen;Oberlausitz;Drachentiere;02747 Berthelsdorf b. Herrnhut;;;;;;;;;;;;;;
140202;Sachsen;Oberlausitz;Stamm Gebirgsfalken;02797 Lückendorf;;;;;;;;;;;;;;
140203;Sachsen;Oberlausitz;Stamm Räuberhauptmann Karasek;02779 Großschönau-Hainewalde;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
150101;Berlin-Brandenburg;Berlin;Alexander von Humboldt;12459 Berlin Oberschöneweide;;;;;;;;;;;;;;
150102;Berlin-Brandenburg;Berlin;Otto Witte;13187 Berlin Pankow;;;;;;;;;;;;;;
150103;Berlin-Brandenburg;Berlin;Thomas Müntzer;14050 Berlin Schöneberg;;;;;;;;;;;;;;
150104;Berlin-Brandenburg;Berlin;Weiße Rose-Mariendorf;12109 Berlin Mariendorf;;;;;;;;;;;;;;
150105;Berlin-Brandenburg;Berlin;Stephanus;14129 Berlin Zehlendorf;;;;;;;;;;;;;;
150106;Berlin-Brandenburg;Berlin;Theodor Fontane;13627 Berlin Charlottenburg;;;;;;;;;;;;;;
150107;Berlin-Brandenburg;Berlin;Askanier;13593 Berlin Spandau;;;;;;;;;;;;;;
150108;Berlin-Brandenburg;Berlin;VCP Siemensstadt;13629 Berlin Siemensstadt;;;;;;;;;;;;;;
150109;Berlin-Brandenburg;Berlin;Berlin Mitte;10178 Berlin Mitte;;;;;;;;;;;;;;
150110;Berlin-Brandenburg;Berlin;Fredy Hirsch;10967 Berlin-Kreuzberg;;;;;;;;;;;;;;
150111;Berlin-Brandenburg;Berlin;Nikolassee;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
150150;Berlin-Brandenburg;Brandenburg;Aboriginees;16303 Schwedt-Oder-Stendell;;;;;;;;;;;;;;
150151;Berlin-Brandenburg;Brandenburg;Rheinsberg;16831 Rheinsberg (Mark);;;;;;;;;;;;;;
150152;Berlin-Brandenburg;Brandenburg;Friedenstauben;16348 Wandlitz;;;;;;;;;;;;;;
150153;Berlin-Brandenburg;Brandenburg;Dietrich-Bonhoeffer;14467 Potsdam;;;;;;;;;;;;;;
150154;Berlin-Brandenburg;Brandenburg;Spreewölfe;15537 Erkner-Neu Zittau;;;;;;;;;;;;;;
150155;Berlin-Brandenburg;Brandenburg;Blankenfelde;15827 Blankenfelde;;;;;;;;;;;;;;
150156;Berlin-Brandenburg;Brandenburg;Saarmund;14552 Saarmund;;;;;;;;;;;;;;
150157;Berlin-Brandenburg;Brandenburg;Red Ants-Zossen;15806 Zossen (b. Berlin);;;;;;;;;;;;;;
150158;Berlin-Brandenburg;Brandenburg;Johannesstift;13629 Berlin-Siemensstadt;;;;;;;;;;;;;;
150159;Berlin-Brandenburg;Brandenburg;Uckamerka;17291 Prenzlau;;;;;;;;;;;;;;
150160;Berlin-Brandenburg;Brandenburg;Neugründung;03050 Cottbus;;;;;;;;;;;;;;
150161;Berlin-Brandenburg;Brandenburg;Neugründung;16269 Wriezen;;;;;;;;;;;;;;
150162;Berlin-Brandenburg;Brandenburg;Groß Kreutz/Stamm Krusevica;14550 Groß Kreutz;;;;;;;;;;;;;;
150163;Berlin-Brandenburg;Brandenburg;Strausberg;15344 Strausberg;;;;;;;;;;;;;;
150164;Berlin-Brandenburg;Brandenburg;Werder;14542 Werder (Havel);;;;;;;;;;;;;;
150165;Berlin-Brandenburg;Brandenburg;Stamm Meyenburg;16945 Meyenburg;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
160101;Schleswig-Holstein;ohne;von Acken;24589 Nortorf b. Neumünster;;;;;;;;;;;;;;
160102;Schleswig-Holstein;ohne;Aver Liekers;25335 Elmshorn;;;;;;;;;;;;;;
